name,state,state_conf
NODE_0000892,NON_GA,"[0.003517486740692428, 0.9964825132593076]"
hCoV-19/Sichuan/SC-WCH2-017/2020|EPI_ISL_451378|2020-01-28,NON_GA,"[0.0, 1.0]"
NODE_0000893,NON_GA,"[0.0024758953509863707, 0.9975241046490136]"
hCoV-19/Sichuan/SC-WCH2-006/2020|EPI_ISL_451076|2020-02-08,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Sichuan/SC-WCH4-293/2020|EPI_ISL_451394|2020-02-03,NON_GA,"[0.0, 0.9999999999999999]"
NODE_0004597,NON_GA,"[0.00013243213051643038, 0.9998675678694835]"
hCoV-19/Sichuan/SC-WCH4-301/2020|EPI_ISL_451395|2020-01-30,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Sichuan/SC-WCH-308/2020|EPI_ISL_451379|2020-01-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-WCH-310/2020|EPI_ISL_451380|2020-01-24,NON_GA,"[0.0, 1.0]"
NODE_0000928,NON_GA,"[0.0005927882561981712, 0.9994072117438019]"
hCoV-19/Wuhan/WIV05/2019|EPI_ISL_402128|2019-12-30,NON_GA,"[0.0, 1.0]"
NODE_0000929,NON_GA,"[7.723471233787787e-06, 0.9999922765287662]"
hCoV-19/Beijing/BJ54/2020|EPI_ISL_430735|2020-01-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Beijing/BJ251/2020|EPI_ISL_430742|2020-01-29,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Beijing/BJ53/2020|EPI_ISL_430734|2020-01-24,NON_GA,"[0.0, 1.0]"
NODE_0000921,NON_GA,"[0.003908914547160209, 0.9960910854528399]"
hCoV-19/Wuhan/HB-WH5-218/2020|EPI_ISL_455390|2020-03-19,NON_GA,"[0.0, 1.0]"
NODE_0000922,NON_GA,"[0.001188655397277357, 0.9988113446027228]"
hCoV-19/Guangdong/20SF316/2020|EPI_ISL_428461|2020-01-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-158/2020|EPI_ISL_454926|2020-02-28,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Lu_an/99/2020|EPI_ISL_1069205|2020-01-31,NON_GA,"[0.0, 1.0]"
NODE_0000817,NON_GA,"[0.003047320197707766, 0.9969526798022923]"
NODE_0000818,NON_GA,"[0.006777595748070759, 0.9932224042519292]"
hCoV-19/Harbin/HRB-25/2020|EPI_ISL_467430|2020-03-13,NON_GA,"[0.0, 1.0]"
